Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0292064837891555,9.82808413992065E-09,0.00773094388760092,0,0,0,2.5433833664806,0.00628163463085114,6.92660079350532E-19,1.98730412004206E-05,0.00637258484633234,-1.49612150409046E-19,0.0126050197334029,0,0,0,0,0,0,package://Arm_urdf/meshes/base_link.STL,0.650980392156863,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://Arm_urdf/meshes/base_link.STL,,BasePlate1-1,Coordinate System1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
shoulder_base,9.29185170941288E-08,-0.00726682022786187,0.0369172409350033,0,0,0,0.547968899396397,0.000911442104513962,-3.38184624925756E-11,9.43198637686502E-13,0.000534320721116197,5.20948534717379E-05,0.000696689325254328,0,0,0,0,0,0,package://Arm_urdf/meshes/shoulder_base.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Arm_urdf/meshes/shoulder_base.STL,,Shoulder base-1,Coordinate System2,Axis1,shoulder_base_joint,continuous,0,0,0.028,0,0,0,base_link,0,0,1,200,3,0,6.283,,,,,,,,
upper_arm_cylinder,-1.33819259338572E-07,0.0399999898537353,0.250000006515245,0,0,0,1.26674905761263,0.0392454061401058,-1.72857379849092E-09,-1.1583048971401E-08,0.0391174058860417,-1.59021896999605E-09,0.000553103031324755,0,0,0,0,0,0,package://Arm_urdf/meshes/upper_arm_cylinder.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Arm_urdf/meshes/upper_arm_cylinder.STL,,upper arm ccylinder-1,Coordinate System3,Axis2,upper_arm_cylinder_joint,revolute,0,-0.149999990171918,0.0499999999999974,0,0,0,shoulder_base,0,-1,0,200,3,-1.5708,1.5708,,,,,,,,
lower_arm_cylinder,0.223699510363451,-0.0464535386689112,7.73162921463566E-08,0,0,0,0.965720738719143,0.000664698936180895,-0.00103626732122404,-4.33113740250719E-08,0.0339695103321179,-1.37903167492945E-09,0.0343996252283291,0,0,0,0,0,0,package://Arm_urdf/meshes/lower_arm_cylinder.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Arm_urdf/meshes/lower_arm_cylinder.STL,,lower arm cylinder-1,Coordinate System4,Axis3,lower_arm_cylinder_joint,revolute,0,0.2,0.5,0,0,0,upper_arm_cylinder,0,1,0,200,3,-3.92699,0.7854,,,,,,,,
wrist_cylinder,0.0172901666734815,0.0360140167199761,8.52731856237909E-08,0,0,0,0.16716236671567,8.12875362367741E-05,1.73820838865348E-05,-4.58227920659574E-11,0.000118622681045282,1.82563615978395E-11,0.000165624520780463,0,0,0,0,0,0,package://Arm_urdf/meshes/wrist_cylinder.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Arm_urdf/meshes/wrist_cylinder.STL,,wrist cylinder-1,Coordinate System5,Axis4,wrist_cylinder_joint,continuous,0.5,-0.169999999999999,0,0,0,0,lower_arm_cylinder,0,1,0,200,3,0,0,,,,,,,,
arm_rotate,0.0106304475519746,0.000353133249130347,4.01452071119301E-05,0,0,0,0.0124047403077522,2.28631743840939E-06,-2.20228888606826E-08,-6.67450313669069E-10,1.74603895262428E-06,-1.26485224644082E-10,1.71851914957186E-06,0,0,0,0,0,0,package://Arm_urdf/meshes/arm_rotate.STL,0.2,0.2,0.2,1,0,0,0,0,0,0,package://Arm_urdf/meshes/arm_rotate.STL,,Gripper assembly-1/Robot Flans-2;Gripper assembly-1/Pnoma cover-3;Gripper assembly-1/Gvde-1;Gripper assembly-1/kol two hole plate-1;Gripper assembly-1/Vida-1;Gripper assembly-1/Vida-2;Gripper assembly-1/kol two hole plate-2;Gripper assembly-1/Vida-3;Gripper assembly-1/Vida-4;Gripper assembly-1/pim-2;Gripper assembly-1/Conta-2;Gripper assembly-1/pim-1;Gripper assembly-1/Conta-1,Coordinate System6,Axis5,arm_rotate_joint,continuous,0.077,0.03,0,0,0,0,wrist_cylinder,1,0,0,200,3,0,6.2832,,,,,,,,
finger_1,0.0660992209346021,-0.00496780547223352,-0.00829355321651146,0,0,0,0.0328182602345924,3.76817248848763E-06,1.72780673518588E-06,-6.91279336191209E-08,4.06972127484588E-05,3.00522180646228E-09,3.8681659734023E-05,0,0,0,0,0,0,package://Arm_urdf/meshes/finger_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Arm_urdf/meshes/finger_1.STL,,Gripper assembly-1/Kol-2,Coordinate System7,Axis6,fingure_1_joint,continuous,0.045,-0.009375,-0.018,1.5708,0,0,arm_rotate,0,0,-1,200,3,0,6.2832,,,,,,,,
red_block_1,-9.8280689142527E-09,4.2277292777726E-13,-3.32067706665384E-13,0,0,0,0.00174697026717748,1.03012520473361E-07,3.39121864988653E-23,-2.7061693360686E-22,1.1253952843479E-07,-1.31900655164854E-08,1.81712992327638E-07,0,0,0,0,0,0,package://Arm_urdf/meshes/red_block_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Arm_urdf/meshes/red_block_1.STL,,Gripper assembly-1/KOl halkasi-2,Coordinate System15,Axis9,red_block_1_joint,prismatic,0.019,-0.0035,-0.0085,0,1.5708,0,finger_1,0,-0.18116,0.98345,200,3,0,0.09,,,,,,,,
fingure_2,0.0660992209345755,0.0049678054721487,-0.00928524332673757,0,0,0,0.0328182602345925,3.76817248849424E-06,-1.72780673525657E-06,6.9127933619225E-08,4.06972127484523E-05,3.00522180660152E-09,3.86816597340231E-05,0,0,0,0,0,0,package://Arm_urdf/meshes/fingure_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Arm_urdf/meshes/fingure_2.STL,,Gripper assembly-1/Kol-1,Coordinate System8,Axis7,fingure_2_joint,continuous,0.045,-0.0099538,0.018,1.5708,0,0,arm_rotate,0,0,-1,200,3,0,6.2832,,,,,,,,
red_block_2,7.79931674799172E-15,-6.81676937119846E-13,4.11226608321158E-13,0,0,0,0.00174697026717749,1.03012520473362E-07,1.93824085241509E-22,-6.75172875211816E-23,1.12539528434841E-07,1.3190065516618E-08,1.81712992327589E-07,0,0,0,0,0,0,package://Arm_urdf/meshes/red_block_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Arm_urdf/meshes/red_block_2.STL,,Gripper assembly-1/KOl halkasi-1,Coordinate System14,Axis8,red_block_2_joint,prismatic,0.019,0.0035,-0.0090788,0,1.5708,0,fingure_2,0,0.18116,0.98345,200,3,0,0.09,,,,,,,,
